dataset,subproject,gem_id,library_id,library_name,type,pair_id,read,fastq_path,donor_id
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P18,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD701_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P19,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD702_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P20,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD702_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P1,R2,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-A9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P2,R2,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-A9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P3,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-A9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P4,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-A9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P5,R2,/scratch/project/production/fastq/HKCNJDRXX/1/fastq/HKCNJDRXX_1_SI-GA-A9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P6,R2,/scratch/project/production/fastq/HKCNJDRXX/2/fastq/HKCNJDRXX_2_SI-GA-A9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P7,R2,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-B9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P8,R2,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-B9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P9,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-B9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P10,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-B9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P11,R2,/scratch/project/production/fastq/HHYC7DRXX/1/fastq/HHYC7DRXX_1_SI-GA-B9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P12,R2,/scratch/project/production/fastq/HHYC7DRXX/2/fastq/HHYC7DRXX_2_SI-GA-B9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P13,R2,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P14,R2,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P15,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P16,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C9_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P17,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD701_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P18,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD701_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P19,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD702_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P20,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD702_2.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P1,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-D9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P2,R1,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-D9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P3,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P4,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P5,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-E9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P6,R1,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-E9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P7,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-E9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P8,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-E9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P9,R1,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P10,R1,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P11,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-F9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P12,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-F9_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135393,BCLL_9_T_1_HTO,hashed_hto,P13,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD704_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135393,BCLL_9_T_1_HTO,hashed_hto,P14,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD704_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135394,BCLL_9_T_2_HTO,hashed_hto,P15,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruseqD705_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135394,BCLL_9_T_2_HTO,hashed_hto,P16,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruseqD705_1.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P1,R2,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-D9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P2,R2,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-D9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P3,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P4,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P5,R2,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-E9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P6,R2,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-E9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P7,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-E9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P8,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-E9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P9,R2,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P10,R2,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P11,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-F9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,indj51br_urakqcmi,135392,BCLL_9_T_5K,not_hashed,P12,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-F9_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135393,BCLL_9_T_1_HTO,hashed_hto,P13,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD704_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135393,BCLL_9_T_1_HTO,hashed_hto,P14,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD704_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135394,BCLL_9_T_2_HTO,hashed_hto,P15,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruseqD705_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135394,BCLL_9_T_2_HTO,hashed_hto,P16,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruseqD705_2.fastq.gz,BCLL-9-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P1,R1,/scratch/project/production/fastq/HCNGWDMXY/1/fastq/HCNGWDMXY_1_SI-TT-D6_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P2,R1,/scratch/project/production/fastq/HCNGWDMXY/2/fastq/HCNGWDMXY_2_SI-TT-D6_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P3,R1,/scratch/project/production/fastq/HF5MLDMXY/1/fastq/HF5MLDMXY_1_SI-TT-D6_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P4,R1,/scratch/project/production/fastq/HF5MLDMXY/2/fastq/HF5MLDMXY_2_SI-TT-D6_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,rfs8oamh_0obpdn7k,269370,BCLL_26_T_GEX_2,hashed_cdna,P5,R1,/scratch/project/production/fastq/HCNGWDMXY/1/fastq/HCNGWDMXY_1_SI-TT-D7_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,rfs8oamh_0obpdn7k,269370,BCLL_26_T_GEX_2,hashed_cdna,P6,R1,/scratch/project/production/fastq/HCNGWDMXY/2/fastq/HCNGWDMXY_2_SI-TT-D7_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,rfs8oamh_0obpdn7k,269370,BCLL_26_T_GEX_2,hashed_cdna,P7,R1,/scratch/project/production/fastq/HF5MLDMXY/1/fastq/HF5MLDMXY_1_SI-TT-D7_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,rfs8oamh_0obpdn7k,269370,BCLL_26_T_GEX_2,hashed_cdna,P8,R1,/scratch/project/production/fastq/HF5MLDMXY/2/fastq/HF5MLDMXY_2_SI-TT-D7_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269686,BCLL_26_HTO_1,hashed_hto,P9,R1,/scratch/project/production/fastq/HCNHVDMXY/1/fastq/HCNHVDMXY_1_SI-NT-A3_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269686,BCLL_26_HTO_1,hashed_hto,P10,R1,/scratch/project/production/fastq/HCNHVDMXY/2/fastq/HCNHVDMXY_2_SI-NT-A3_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,rfs8oamh_0obpdn7k,269687,BCLL_26_HTO_2,hashed_hto,P11,R1,/scratch/project/production/fastq/HCNHVDMXY/1/fastq/HCNHVDMXY_1_SI-NT-A4_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,rfs8oamh_0obpdn7k,269687,BCLL_26_HTO_2,hashed_hto,P12,R1,/scratch/project/production/fastq/HCNHVDMXY/2/fastq/HCNHVDMXY_2_SI-NT-A4_1.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P1,R2,/scratch/project/production/fastq/HCNGWDMXY/1/fastq/HCNGWDMXY_1_SI-TT-D6_2.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P2,R2,/scratch/project/production/fastq/HCNGWDMXY/2/fastq/HCNGWDMXY_2_SI-TT-D6_2.fastq.gz,BCLL-26-T
scRNA-seq,BCLLATLAS_131,xxfne43y_x9dh95oz,269369,BCLL_26_T_GEX_1,hashed_cdna,P3,R2,/scratch/project/production/fastq/HF5MLDMXY/1/fastq/HF5MLDMXY_1_SI-TT-D6_2.fastq.gz,BCLL-26-T
