rowname curveNumber pointNumber    x     y
349           0        1022 2294 -2373
350           0        1029 2057 -1137
351           0        1030 2164 -2597
352           0        1033 2337 -3047
353           0        1037 2272 -2859
354           0        1043 2380 -1773
355           0        1044 2487 -2934
356           0        1045 2530 -2934
357           0        1050 2401 -1137
358           0        1051 2100 -1736
359           0        1054 2186 -2185
360           0        1055 2250 -1848
361           0        1058 2401 -2560
362           0        1061 2358 -1811
363           0        1072 2208 -2822
364           0        1078 2250 -1474
365           0        1084 2336 -1698
366           0        1088 2358 -1886
367           0        1090 2164  -800
368           0        1093 2336  -875
369           0        1094 2121 -1923
370           0        1099 2035 -1249
371           0        1102 2530 -3009
372           0        1104 2444 -2934
373           0        1105 2229 -1886
374           0        1110 2121  -800
375           0        1113 2530 -2410
376           0        1120 2444 -1361
377           0        1122 2100 -2036
378           0        1124 2401 -3084
379           0        1125 2595 -2822
380           0        1135 2294 -2298
381           0        1137 2380 -2148
382           0        1139 2164 -1399
383           0        1144 2293 -1324
384           0        1152 2165 -2672
385           0        1153 2272 -1961
386           0        1154 2293 -1773
387           0        1157 2466 -3047
388           0        1161 2121 -1773
389           0        1162 2336 -1024
390           0        1164 2530 -1586
391           0        1165 2293  -950
392           0        1170 2423 -1324
393           0        1174 2487 -2185
394           0        1185 2380 -2373
395           0        1187 2358 -3159
396           0        1189 2014  -912
397           0        1193 2143 -2110
398           0        1196 2358  -837
399           0        1201 2401 -2410
400           0        1203 2595 -3047
401           0        1205 2207 -2223
402           0        1208 2251 -2972
403           0        1210 2401  -987
404           0        1211 2164 -2522
405           0        1214 2595 -2148
406           0        1215 2315 -1436
407           0        1216 2423 -2822
408           0        1219 2423 -2522
409           0        1221 2293 -1099
410           0        1222 2315 -1137
411           0        1229 2078 -1324
412           0        1238 2336 -1399
413           0        1240 2423 -1848
414           0        1241 2487 -2560
415           0        1244 2530 -2335
416           0        1245 2143 -1961
417           0        1246 2186 -2785
418           0        1252 2035 -1699
419           0        1253 2423 -1399
420           0        1255 2164 -2447
421           0        1258 2250  -950
422           0        1259 2401 -1361
423           0        1260 2294 -2447
424           0        1267 2401 -1062
425           0        1273 2423 -1624
426           0        1274 2272 -2485
427           0        1275 2100 -1586
428           0        1277 2616 -2635
429           0        1279 2401 -2185
430           0        1280 2444 -2410
431           0        1282 2186 -2335
432           0        1284 2272 -2260
433           0        1288 2379  -800
434           0        1291 2186 -1137
435           0        1303 2423 -1773
436           0        1304 2186 -1886
437           0        1305 2293 -1624
438           0        1306 2574 -3084
439           0        1307 2423 -3122
440           0        1308 2035 -1399
441           0        1310 2466 -1474
442           0        1312 2423 -1549
443           0        1313 2573 -2560
444           0        1314 2315 -1062
445           0        1316 2143 -1511
446           0        1317 2573 -2934
447           0        1319 2896 -2822
448           0        1324 2595 -2447
449           0        1325 2143 -1287
450           0        1326 2057 -1511
