dataset,subproject,gem_id,library_id,library_name,type,pair_id,read,fastq_path,donor_id,flowcell,lane,index,fastq_name_array_express
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P2,R2,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C7_2.fastq.gz,BCLL-2-T,HCY2YDRXX,1,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P2.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P3,R2,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C7_2.fastq.gz,BCLL-2-T,HCY2YDRXX,2,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P3.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P4,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C7_2.fastq.gz,BCLL-2-T,HF353DRXX,1,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P4.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P5,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C7_2.fastq.gz,BCLL-2-T,HF353DRXX,2,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P5.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,P6,R2,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-D7_2.fastq.gz,BCLL-2-T,HC5H7BBXY,6,SI-GA-D7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130340.hashed_cdna.P6.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,P7,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D7_2.fastq.gz,BCLL-2-T,HF353DRXX,1,SI-GA-D7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130340.hashed_cdna.P7.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,P8,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D7_2.fastq.gz,BCLL-2-T,HF353DRXX,2,SI-GA-D7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130340.hashed_cdna.P8.R2.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130342,BCLL_2_T_HTO,hashed_hto,P9,R2,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_IlluminaTruseqD706_2.fastq.gz,BCLL-2-T,HC5H7BBXY,6,IlluminaTruseqD706,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130342.hashed_hto.P9.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P1,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-A9_1.fastq.gz,BCLL-8-T,HCTW2DRXX,1,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P1.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P2,R1,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-A9_1.fastq.gz,BCLL-8-T,HCTW2DRXX,2,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P2.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P3,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-A9_1.fastq.gz,BCLL-8-T,HF353DRXX,1,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P3.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P4,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-A9_1.fastq.gz,BCLL-8-T,HF353DRXX,2,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P4.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P5,R1,/scratch/project/production/fastq/HKCNJDRXX/1/fastq/HKCNJDRXX_1_SI-GA-A9_1.fastq.gz,BCLL-8-T,HKCNJDRXX,1,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P5.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P6,R1,/scratch/project/production/fastq/HKCNJDRXX/2/fastq/HKCNJDRXX_2_SI-GA-A9_1.fastq.gz,BCLL-8-T,HKCNJDRXX,2,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P6.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P7,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-B9_1.fastq.gz,BCLL-8-T,HCTW2DRXX,1,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P7.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P8,R1,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-B9_1.fastq.gz,BCLL-8-T,HCTW2DRXX,2,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P8.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P9,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-B9_1.fastq.gz,BCLL-8-T,HF353DRXX,1,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P9.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P10,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-B9_1.fastq.gz,BCLL-8-T,HF353DRXX,2,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P10.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P11,R1,/scratch/project/production/fastq/HHYC7DRXX/1/fastq/HHYC7DRXX_1_SI-GA-B9_1.fastq.gz,BCLL-8-T,HHYC7DRXX,1,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P11.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P12,R1,/scratch/project/production/fastq/HHYC7DRXX/2/fastq/HHYC7DRXX_2_SI-GA-B9_1.fastq.gz,BCLL-8-T,HHYC7DRXX,2,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P12.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P13,R1,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C9_1.fastq.gz,BCLL-8-T,HCY2YDRXX,1,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P13.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P14,R1,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C9_1.fastq.gz,BCLL-8-T,HCY2YDRXX,2,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P14.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P15,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C9_1.fastq.gz,BCLL-8-T,HF353DRXX,1,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P15.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P16,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C9_1.fastq.gz,BCLL-8-T,HF353DRXX,2,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P16.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P17,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD701_1.fastq.gz,BCLL-8-T,HF353DRXX,1,IlluminaTruSeqD701,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135348.hashed_hto.P17.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P18,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD701_1.fastq.gz,BCLL-8-T,HF353DRXX,2,IlluminaTruSeqD701,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135348.hashed_hto.P18.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P19,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD702_1.fastq.gz,BCLL-8-T,HF353DRXX,1,IlluminaTruSeqD702,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135349.hashed_hto.P19.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P20,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD702_1.fastq.gz,BCLL-8-T,HF353DRXX,2,IlluminaTruSeqD702,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135349.hashed_hto.P20.R1.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P1,R2,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-A9_2.fastq.gz,BCLL-8-T,HCTW2DRXX,1,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P1.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P2,R2,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-A9_2.fastq.gz,BCLL-8-T,HCTW2DRXX,2,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P2.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P3,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-A9_2.fastq.gz,BCLL-8-T,HF353DRXX,1,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P3.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P4,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-A9_2.fastq.gz,BCLL-8-T,HF353DRXX,2,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P4.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P5,R2,/scratch/project/production/fastq/HKCNJDRXX/1/fastq/HKCNJDRXX_1_SI-GA-A9_2.fastq.gz,BCLL-8-T,HKCNJDRXX,1,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P5.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135345,BCLL_8_T_1_hashing,hashed_cdna,P6,R2,/scratch/project/production/fastq/HKCNJDRXX/2/fastq/HKCNJDRXX_2_SI-GA-A9_2.fastq.gz,BCLL-8-T,HKCNJDRXX,2,SI-GA-A9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135345.hashed_cdna.P6.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P7,R2,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-B9_2.fastq.gz,BCLL-8-T,HCTW2DRXX,1,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P7.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P8,R2,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-B9_2.fastq.gz,BCLL-8-T,HCTW2DRXX,2,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P8.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P9,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-B9_2.fastq.gz,BCLL-8-T,HF353DRXX,1,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P9.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P10,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-B9_2.fastq.gz,BCLL-8-T,HF353DRXX,2,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P10.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P11,R2,/scratch/project/production/fastq/HHYC7DRXX/1/fastq/HHYC7DRXX_1_SI-GA-B9_2.fastq.gz,BCLL-8-T,HHYC7DRXX,1,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P11.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P12,R2,/scratch/project/production/fastq/HHYC7DRXX/2/fastq/HHYC7DRXX_2_SI-GA-B9_2.fastq.gz,BCLL-8-T,HHYC7DRXX,2,SI-GA-B9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135346.hashed_cdna.P12.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P13,R2,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C9_2.fastq.gz,BCLL-8-T,HCY2YDRXX,1,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P13.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P14,R2,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C9_2.fastq.gz,BCLL-8-T,HCY2YDRXX,2,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P14.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P15,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C9_2.fastq.gz,BCLL-8-T,HF353DRXX,1,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P15.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P16,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C9_2.fastq.gz,BCLL-8-T,HF353DRXX,2,SI-GA-C9,scRNA-seq.BCLL-8-T.BCLLATLAS_06.wkup7hvl_reo7jg84.135347.not_hashed.P16.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P17,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD701_2.fastq.gz,BCLL-8-T,HF353DRXX,1,IlluminaTruSeqD701,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135348.hashed_hto.P17.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P18,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD701_2.fastq.gz,BCLL-8-T,HF353DRXX,2,IlluminaTruSeqD701,scRNA-seq.BCLL-8-T.BCLLATLAS_06.d8kwy76j_7blj9otf.135348.hashed_hto.P18.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P19,R2,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD702_2.fastq.gz,BCLL-8-T,HF353DRXX,1,IlluminaTruSeqD702,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135349.hashed_hto.P19.R2.fastq.gz
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135349,BCLL_8_T_2_HTO,hashed_hto,P20,R2,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD702_2.fastq.gz,BCLL-8-T,HF353DRXX,2,IlluminaTruSeqD702,scRNA-seq.BCLL-8-T.BCLLATLAS_06.giz3qso4_783dbpu6.135349.hashed_hto.P20.R2.fastq.gz
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P1,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-D9_1.fastq.gz,BCLL-9-T,HCTW2DRXX,1,SI-GA-D9,scRNA-seq.BCLL-9-T.BCLLATLAS_07.umt51kfr_p8ei65ms.135390.hashed_cdna.P1.R1.fastq.gz
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P2,R1,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-D9_1.fastq.gz,BCLL-9-T,HCTW2DRXX,2,SI-GA-D9,scRNA-seq.BCLL-9-T.BCLLATLAS_07.umt51kfr_p8ei65ms.135390.hashed_cdna.P2.R1.fastq.gz
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P3,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D9_1.fastq.gz,BCLL-9-T,HF353DRXX,1,SI-GA-D9,scRNA-seq.BCLL-9-T.BCLLATLAS_07.umt51kfr_p8ei65ms.135390.hashed_cdna.P3.R1.fastq.gz
scRNA-seq,BCLLATLAS_07,umt51kfr_p8ei65ms,135390,BCLL_9_T_1_hashing,hashed_cdna,P4,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D9_1.fastq.gz,BCLL-9-T,HF353DRXX,2,SI-GA-D9,scRNA-seq.BCLL-9-T.BCLLATLAS_07.umt51kfr_p8ei65ms.135390.hashed_cdna.P4.R1.fastq.gz
scRNA-seq,BCLLATLAS_07,i5udk3x0_57gv6ncx,135391,BCLL_9_T_2_hashing,hashed_cdna,P5,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-E9_1.fastq.gz,BCLL-9-T,HCTW2DRXX,1,SI-GA-E9,scRNA-seq.BCLL-9-T.BCLLATLAS_07.i5udk3x0_57gv6ncx.135391.hashed_cdna.P5.R1.fastq.gz
